,Weight Class,Victory Type (L),Victory Type (S),Winner Score,Loser Score,Winner First Name,Winner Last Name,Winner School (L),Winner School (S),Loser First Name,Loser Last Name,Loser School (L),Loser School (S),Unknown (Seed?),Round,Event Name,Event ID,Event Order (1=newest),Winner Full Name,Loser Full Name
0,120,Fall,Fall,0,0,Jason,Myers,Martin L. King-PSAL,MLKP,Tyrone,Lawrence,AP Randolph-PSAL,ARP,4,,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,1,Jason Myers,Tyrone Lawrence
1,138,Technical Fall,TF,16,1,Joseph,Perez,Martin L. King-PSAL,MLKP,Kevin,Clavijo,Aviation-PSAL,AVPS,7,,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,2,Joseph Perez,Kevin Clavijo
2,220,Fall,Fall,0,0,Alexander,Semenenko,McKee-Staten Island Tech-PSAL,MSIT,Lovepreet,Singh,Aviation-PSAL,AVPS,14,,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,2,Alexander Semenenko,Lovepreet Singh
3,220,Decision,Dec,1,2,Daniel,Borisow,Brooklyn Technical-PSAL,BTP,Lovepreet,Singh,Aviation-PSAL,AVPS,14,3rd Place Match,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,2,Daniel Borisow,Lovepreet Singh
4,113,Fall,Fall,0,0,Joshua,Correa,Tottenville-PSAL,TOPS,Zhen,Yu,Benjamin Cardozo HS - PSAL,BCHP,3,Champ. Round 3,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,3,Joshua Correa,Zhen Yu
5,120,Technical Fall,TF,15,0,Jalen,Yu,Brooklyn Technical-PSAL,BTP,Nicolas,Roxas,Benjamin Cardozo HS - PSAL,BCHP,4,Cons. Round 1,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,3,Jalen Yu,Nicolas Roxas
6,132,Decision,Dec,6,4,Jerimah,Jackson,Martin L. King-PSAL,MLKP,Ashtin,Reich,Benjamin Cardozo HS - PSAL,BCHP,6,Quarterfinals,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,3,Jerimah Jackson,Ashtin Reich
7,152,Fall,Fall,0,0,Dimitri,Gamkielidze,Midwood-PSAL,MIPS,Sebastian,Mosquera,Benjamin Cardozo HS - PSAL,BCHP,9,,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,3,Dimitri Gamkielidze,Sebastian Mosquera
8,160,Decision,Dec,9,3,Elijah,Perez,Martin L. King-PSAL,MLKP,Josh,Indiviglio,Benjamin Cardozo HS - PSAL,BCHP,10,Quarterfinals,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,3,Elijah Perez,Josh Indiviglio
9,285,Fall,Fall,0,0,Daniel,Bogdanov,James Madison-PSAL,JMP,Ryan,Kim,Benjamin Cardozo HS - PSAL,BCHP,15,Semifinals,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,3,Daniel Bogdanov,Ryan Kim
10,106,Fall,Fall,0,0,James,Wong,Brooklyn Technical-PSAL,BTP,Mohsin,Suhan,Bronx HS of Science-PSAL,BHOS,2,Semifinals,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,4,James Wong,Mohsin Suhan
11,106,Fall,Fall,0,0,Salvatore,Esposito,Tottenville-PSAL,TOPS,Mohsin,Suhan,Bronx HS of Science-PSAL,BHOS,2,1st Place Match,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,4,Salvatore Esposito,Mohsin Suhan
12,106,Technical Fall,TF,19,3,James,Wong,Brooklyn Technical-PSAL,BTP,Andy,Ma,Bronx HS of Science-PSAL,BHOS,2,Quarterfinals,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,4,James Wong,Andy Ma
13,113,Fall,Fall,0,0,Mian,Hamid,Brooklyn Technical-PSAL,BTP,Sabahat,Sami,Bronx HS of Science-PSAL,BHOS,3,Cons. Round 2,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,4,Mian Hamid,Sabahat Sami
14,285,Fall,Fall,0,0,Amimul,Arnab,Brooklyn Technical-PSAL,BTP,Jahan,Okata Harrison,Bronx HS of Science-PSAL,BHOS,15,Cons. Round 2,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,4,Amimul Arnab,Jahan Okata Harrison
15,106,Technical Fall,TF,19,3,James,Wong,Brooklyn Technical-PSAL,BTP,Andy,Ma,Bronx HS of Science-PSAL,BHOS,2,Quarterfinals,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,5,James Wong,Andy Ma
16,106,Fall,Fall,0,0,James,Wong,Brooklyn Technical-PSAL,BTP,Mohsin,Suhan,Bronx HS of Science-PSAL,BHOS,2,Semifinals,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,5,James Wong,Mohsin Suhan
17,106,Fall,Fall,0,0,James,Wong,Brooklyn Technical-PSAL,BTP,Eric,Fang,Maspeth - PSAL,MAPS,2,Cons. Semis,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,5,James Wong,Eric Fang
18,106,Decision,Dec,5,0,James,Wong,Brooklyn Technical-PSAL,BTP,Vadym,Mysiv,Edward R. Murrow  - PSAL,ERMP,2,3rd Place Match,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,5,James Wong,Vadym Mysiv
19,113,Fall,Fall,0,0,Mian,Hamid,Brooklyn Technical-PSAL,BTP,Max,Takoudes,Edward R. Murrow  - PSAL,ERMP,3,Champ. Round 1,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,5,Mian Hamid,Max Takoudes
20,113,Fall,Fall,0,0,Mian,Hamid,Brooklyn Technical-PSAL,BTP,Kadeem,Nibbs,Grand Street Campus-PSAL,GSCP,3,Quarterfinals,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,5,Mian Hamid,Kadeem Nibbs
21,113,Fall,Fall,0,0,Mian,Hamid,Brooklyn Technical-PSAL,BTP,Sabahat,Sami,Bronx HS of Science-PSAL,BHOS,3,Cons. Round 2,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,5,Mian Hamid,Sabahat Sami
22,113,Fall,Fall,0,0,Mian,Hamid,Brooklyn Technical-PSAL,BTP,Francisco,Murial,Franklin D Roosevelt-PSAL,FDRP,3,Cons. Round 3,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,5,Mian Hamid,Francisco Murial
23,113,Fall,Fall,0,0,Mian,Hamid,Brooklyn Technical-PSAL,BTP,Ogabek,Sheraliev,James Madison-PSAL,JMP,3,7th Place Match,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,5,Mian Hamid,Ogabek Sheraliev
24,120,Fall,Fall,0,0,Jalen,Yu,Brooklyn Technical-PSAL,BTP,Botensky,Bauzile,Thomas Edison-PSAL,TEP,4,Champ. Round 1,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,5,Jalen Yu,Botensky Bauzile
25,120,Technical Fall,TF,15,0,Jalen,Yu,Brooklyn Technical-PSAL,BTP,Nicolas,Roxas,Benjamin Cardozo HS - PSAL,BCHP,4,Cons. Round 1,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,5,Jalen Yu,Nicolas Roxas
26,120,Decision,Dec,8,10,Jalen,Yu,Brooklyn Technical-PSAL,BTP,Nicholas,Campanella,James Madison-PSAL,JMP,4,Cons. Round 2,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,5,Jalen Yu,Nicholas Campanella
27,126,Fall,Fall,0,0,Kai,Yudelson,Brooklyn Technical-PSAL,BTP,Kalo,Shuke,Maspeth - PSAL,MAPS,5,Quarterfinals,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,5,Kai Yudelson,Kalo Shuke
28,126,Decision,Dec,9,7,Kai,Yudelson,Brooklyn Technical-PSAL,BTP,Mykyta,Khremli,New Utrecht-PSAL,NUP,5,Semifinals,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,5,Kai Yudelson,Mykyta Khremli
29,126,Decision,Dec,1,7,Kai,Yudelson,Brooklyn Technical-PSAL,BTP,David,Correa,Tottenville-PSAL,TOPS,5,1st Place Match,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,5,Kai Yudelson,David Correa
30,145,Decision,Dec,3,9,Jobaer,Hossain,Brooklyn Technical-PSAL,BTP,Justin,Linzan,Townsend Harris-PSAL,THP,8,Champ. Round 1,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,5,Jobaer Hossain,Justin Linzan
31,145,Decision,Dec,9,2,Jobaer,Hossain,Brooklyn Technical-PSAL,BTP,Joshua,Diaz,Maspeth - PSAL,MAPS,8,Cons. Round 2,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,5,Jobaer Hossain,Joshua Diaz
32,145,Fall,Fall,0,0,Jobaer,Hossain,Brooklyn Technical-PSAL,BTP,Joseph,Perez,John Bowne-PSAL,JBP,8,Cons. Round 3,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,5,Jobaer Hossain,Joseph Perez
33,145,Forfeit,For.,0,0,Jobaer,Hossain,Brooklyn Technical-PSAL,BTP,Justin,Linzan,Townsend Harris-PSAL,THP,8,7th Place Match,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,5,Jobaer Hossain,Justin Linzan
34,152,Fall,Fall,0,0,Jack,Reusing,Brooklyn Technical-PSAL,BTP,Gerrald,Sapeg,George Washington-PSAL,GWP,9,Quarterfinals,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,5,Jack Reusing,Gerrald Sapeg
35,152,Decision,Dec,14,9,Jack,Reusing,Brooklyn Technical-PSAL,BTP,Dimitri,Gamkielidze,Midwood-PSAL,MIPS,9,Semifinals,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,5,Jack Reusing,Dimitri Gamkielidze
36,152,Decision,Dec,5,2,Jack,Reusing,Brooklyn Technical-PSAL,BTP,Markel,Browne,Grand Street Campus-PSAL,GSCP,9,1st Place Match,PSAL-D1 WRESTLING CHAMPIONSHIPS,4998201132,5,Jack Reusing,Markel Browne
